pos,voltage
-12,23437
-11,23437
-12,23437
-9,23437
-13,23437
-13,23437
-12,23437
-14,23437
-13,23437
-16,23437
-9,23437
-10,23437
-12,23437
-11,23437
-9,23437
-11,23437
-8,23437
-11,23437
-12,23437
-11,23437
-17,23437
-10,23437
-11,23437
-7,23437
-13,23437
-12,23437
-11,23437
-10,23437
-12,23437
-11,23437
-11,23437
-13,23437
-6,23437
-13,23437
-10,23437
-13,23437
-12,23437
-8,23437
-10,23437
-17,23437
-12,23437
-12,23437
-13,23437
-13,23437
-11,23437
-11,23437
-10,23437
-12,23437
-12,23437
-14,23437
-7,23437
-8,23437
-11,23437
-8,23437
-14,23437
-12,23437
-14,23437
-14,23437
-9,23437
-9,23437
-13,23437
-11,23437
-14,23437
-14,23437
-11,23437
-12,23437
-8,23437
-11,23437
-12,23437
-14,23437
-13,23437
-11,23437
-16,23437
-14,23437
-14,23437
-11,23437
-11,23437
-14,23437
-8,23437
-11,23437
-11,23437
-11,23437
-15,23437
-12,23437
-13,23437
-12,23437
-13,23437
-17,23437
-11,23437
-12,23437
-8,23437
-7,23437
-12,23437
-14,23437
-13,23437
-12,23437
-11,23437
-12,23437
-10,23437
-10,23437
-12,23437
-17,23437
-13,23437
-14,23437
-13,23437
-13,23437
-11,23437
-10,23437
-12,23437
-13,23437
-15,23437
-10,23437
-9,23437
-11,23437
-12,23437
-11,23437
-12,23437
-10,23437
-15,23437
-12,23437
-10,23437
-17,23437
-18,23437
-15,23437
-13,23437
-9,23437
-11,23437
-14,23437
-11,23437
-15,23437
-8,23437
-11,23437
-12,23437
-12,23437
-13,23437
-12,23437
-14,23437
-12,23437
-10,23437
-11,23437
-10,23437
-10,23437
-13,23437
-12,23437
-14,23437
-12,23437
-10,23437
-11,23437
-6,23437
-11,23437
-10,23437
-15,23437
-9,23437
-12,23437
-12,23437
-10,23437
-10,23437
-15,23437
-7,23437
-13,23437
-12,23437
-13,23437
-11,23437
-10,23437
-18,23437
-15,23437
-9,23437
-8,23437
-9,23437
-10,23437
-13,23437
-13,23437
-12,23437
-12,23437
-15,23437
-8,23437
-12,23437
-8,23437
-11,23437
-11,23437
-11,23437
-13,23437
-11,23437
-12,23437
-15,23437
-13,23437
-12,23440
-15,23440
-15,23440
-13,23440
-17,23440
-6,23440
-11,23440
-15,23440
-12,23440
-16,23440
-14,23440
-10,23440
-15,23440
-13,23440
-12,23440
-13,23440
-15,23440
-11,23440
-13,23440
-14,23440
-12,23440
-7,23440
-19,23440
-10,23440
-12,23440
-13,23440
-12,23440
-11,23440
-11,23440
-14,23440
-12,23440
-12,23440
-10,23440
-12,23440
-14,23440
-14,23440
-8,23440
-13,23440
-12,23440
-16,23440
-6,23440
-17,23440
-11,23440
-12,23440
-14,23440
-12,23440
-14,23440
-7,23440
-17,23440
-17,23440
-16,23440
-15,23440
-15,23440
-10,23440
-8,23440
-10,23440
-13,23440
-11,23440
-13,23440
-10,23440
-15,23440
-13,23440
-11,23440
-15,23440
-12,23440
-11,23440
-14,23440
-7,23440
-10,23440
-13,23440
-15,23440
-12,23440
-10,23440
-18,23440
-13,23440
-12,23440
-12,23440
-14,23440
-11,23440
-10,23440
-15,23440
-6,23440
-14,23440
-10,23440
-18,23440
-16,23440
-15,23440
-16,23440
-9,23440
-10,23440
-11,23440
-9,23440
-14,23440
-12,23440
-12,23440
-14,23440
-12,23440
-17,23440
-12,23440
-7,23440
-10,23440
-11,23440
-13,23440
-10,23440
-12,23440
-11,23440
-9,23440
-11,23440
-13,23440
-10,23440
-12,23440
-9,23440
-11,23440
-13,23440
-11,23440
-7,23440
-15,23440
-7,23440
-20,23440
-7,23440
-15,23440
-9,23440
-9,23440
-13,23440
-12,23440
-15,23440
-12,23440
-9,23440
-16,23440
-10,23440
-12,23440
-12,23440
-12,23440
-13,23440
-12,23440
-11,23440
-12,23440
-12,23440
-12,23440
-13,23440
-11,23440
-13,23440
-16,23440
-12,23440
-10,23440
-11,23440
-11,23440
-12,23440
-12,23440
-15,23440
-13,23440
-12,23440
-14,23440
-7,23440
-11,23440
-9,23440
-14,23440
-11,23440
-11,23440
-11,23440
-10,23440
-14,23440
-10,23440
-14,23440
-11,23440
-8,23440
-15,23440
-13,23440
-9,23440
-10,23440
-14,23440
-11,23440
-17,23440
-13,23440
-12,23440
-7,23440
-16,23440
-17,23440
-15,23440
-8,23440
-12,23440
-14,23440
-17,23440
-10,23440
-16,23440
-11,23440
-10,23440
-11,23440
-13,23440
-9,23440
-11,23440
-9,23440
-14,23440
-16,23440
-11,23440
-9,23440
-14,23440
-11,23440
-13,23440
-11,23440
-13,23440
-11,23440
-16,23440
-12,23440
-13,23440
-12,23440
-12,23440
-11,23440
-16,23440
-13,23440
-12,23440
-17,23440
-11,23440
-10,23440
-13,23440
-9,23440
-10,23440
-12,23440
-15,23440
-13,23440
-14,23440
-10,23442
-12,23442
-19,23442
-14,23442
-17,23442
-9,23442
-9,23442
-11,23442
-15,23442
-16,23442
-10,23442
-12,23442
-14,23442
-7,23442
-8,23442
-14,23442
-11,23442
-13,23442
-11,23442
-13,23442
-13,23442
-12,23442
-11,23442
-10,23442
-12,23442
-13,23442
-9,23442
-13,23442
-11,23442
-11,23442
-8,23442
-8,23442
-10,23442
-16,23442
-16,23442
-14,23442
-12,23442
-14,23442
-11,23442
-9,23442
-12,23442
-7,23442
-19,23442
-12,23442
-14,23442
-8,23442
-16,23442
-11,23442
-13,23442
-18,23442
-11,23442
-16,23442
-10,23442
-14,23442
-12,23442
-12,23442
-15,23442
-13,23442
-11,23442
-13,23442
-10,23442
-11,23442
-9,23442
-13,23442
-14,23442
-11,23442
-14,23442
-10,23442
-10,23442
-16,23442
-15,23442
-12,23442
-9,23442
-6,23442
-12,23442
-13,23442
-16,23442
-6,23442
-17,23442
-15,23442
-16,23442
-7,23442
-14,23442
-15,23442
-11,23442
-10,23442
-10,23442
-13,23442
-10,23442
-11,23442
-11,23442
-12,23442
-9,23442
-12,23442
-11,23442
-15,23442
-13,23442
-12,23442
-11,23442
-13,23442
-13,23442
-10,23442
-15,23442
-15,23442
-12,23442
-14,23442
-9,23442
-9,23442
-12,23442
-11,23442
-14,23442
-9,23442
-10,23442
-9,23442
-12,23442
-15,23442
-11,23442
-11,23442
-9,23442
-11,23442
-9,23442
-13,23442
-13,23442
-10,23442
-6,23442
-17,23442
-15,23442
-14,23442
-14,23442
-7,23442
-13,23442
-11,23442
-8,23442
-12,23442
-17,23442
-12,23442
-16,23442
-13,23442
-9,23442
-10,23442
-11,23442
-15,23442
-12,23442
-14,23442
-14,23442
-19,23442
-17,23442
-10,23442
-14,23442
-14,23442
-8,23442
-11,23442
-15,23442
-13,23442
-12,23442
-8,23442
-12,23442
