pos,voltage
-16,23437
-16,23437
-16,23437
-15,23437
-12,23437
-13,23437
-19,23437
-14,23437
-14,23437
-16,23437
-13,23437
-17,23437
-13,23437
-17,23437
-13,23437
-13,23437
-14,23437
-15,23437
-16,23437
-18,23437
-13,23437
-16,23437
-18,23437
-16,23437
-16,23437
-17,23437
-14,23437
-16,23437
-17,23437
-17,23437
-13,23437
-15,23437
-12,23437
-14,23437
-14,23437
-18,23437
-15,23437
-16,23437
-15,23437
-14,23437
-19,23437
-18,23437
-18,23437
-18,23437
-17,23437
-12,23437
-18,23437
-16,23437
-11,23437
-16,23437
-14,23437
-16,23437
-17,23437
-14,23437
-16,23437
-16,23437
-15,23437
-15,23437
-17,23437
-17,23437
-19,23437
-13,23437
-14,23437
-17,23437
-17,23437
-14,23437
-12,23437
-14,23437
-14,23437
-15,23437
-16,23437
-15,23437
-16,23437
-14,23437
-16,23437
-21,23437
-15,23437
-17,23437
-15,23437
-19,23437
-12,23437
-17,23437
-18,23437
-19,23437
-14,23437
-19,23437
-17,23437
-15,23437
-12,23437
-14,23437
-17,23437
-13,23437
-20,23437
-14,23437
-17,23437
-15,23437
-15,23437
-13,23437
-15,23437
-21,23437
-17,23437
-16,23437
-14,23437
-11,23437
-14,23437
-19,23437
-16,23437
-20,23437
-16,23437
-22,23437
-17,23437
-17,23437
-16,23437
-17,23437
-13,23437
-24,23437
-16,23437
-15,23437
-13,23437
-14,23437
-18,23437
-15,23437
-16,23437
-18,23437
-15,23437
-15,23437
-15,23437
-20,23437
-10,23437
-17,23437
-13,23437
-19,23437
-18,23437
-17,23437
-17,23437
-11,23437
-20,23437
-13,23437
-19,23437
-13,23437
-16,23437
-17,23437
-14,23437
-19,23437
-16,23437
-15,23437
-12,23437
-13,23437
-16,23437
-18,23437
-15,23437
-18,23437
-20,23437
-13,23437
-14,23437
-16,23437
-13,23437
-14,23437
-18,23437
-12,23437
-15,23437
-17,23437
-13,23437
-18,23437
-21,23437
-13,23437
-16,23437
-17,23437
-18,23437
-16,23437
-14,23437
-12,23437
-11,23437
-17,23437
-14,23437
-15,23437
-18,23437
-16,23437
-18,23437
-23,23437
-20,23437
-15,23437
-17,23437
-17,23437
