finestep,counter_asc,counter_desc
-32768,53.0,52.0
-32752,57.0,56.0
-32736,61.0,52.0
-32720,59.0,54.0
-32704,56.0,57.0
-32688,55.0,54.0
-32672,56.0,52.0
-32656,57.0,56.0
-32640,57.0,58.0
-32624,52.0,54.0
-32608,54.0,53.0
-32592,56.0,56.0
-32576,57.0,51.0
-32560,59.0,51.0
-32544,55.0,55.0
-32528,56.0,52.0
-32512,58.0,51.0
-32496,55.0,55.0
-32480,56.0,49.0
-32464,54.0,52.0
-32448,60.0,55.0
-32432,62.0,51.0
-32416,56.0,51.0
-32400,54.0,58.0
-32384,59.0,52.0
-32368,56.0,52.0
-32352,58.0,52.0
-32336,56.0,55.0
-32320,55.0,52.0
-32304,61.0,52.0
-32288,54.0,53.0
-32272,58.0,53.0
-32256,55.0,49.0
-32240,57.0,50.0
-32224,55.0,49.0
-32208,64.0,53.0
-32192,57.0,55.0
-32176,58.0,53.0
-32160,58.0,50.0
-32144,54.0,51.0
-32128,58.0,51.0
-32112,57.0,48.0
-32096,57.0,48.0
-32080,61.0,50.0
-32064,56.0,51.0
-32048,54.0,53.0
-32032,59.0,54.0
-32016,57.0,49.0
-32000,54.0,48.0
-31984,59.0,51.0
-31968,54.0,48.0
-31952,59.0,52.0
-31936,55.0,49.0
-31920,56.0,52.0
-31904,58.0,52.0
-31888,55.0,49.0
-31872,54.0,50.0
-31856,55.0,48.0
-31840,61.0,52.0
-31824,54.0,49.0
-31808,62.0,52.0
-31792,55.0,53.0
-31776,58.0,50.0
-31760,59.0,50.0
-31744,57.0,50.0
-31728,56.0,53.0
-31712,56.0,50.0
-31696,57.0,50.0
-31680,58.0,51.0
-31664,59.0,52.0
-31648,59.0,48.0
-31632,55.0,48.0
-31616,60.0,52.0
-31600,63.0,47.0
-31584,59.0,49.0
-31568,50.0,51.0
-31552,60.0,50.0
-31536,57.0,50.0
-31520,58.0,50.0
-31504,56.0,45.0
-31488,58.0,44.0
-31472,57.0,49.0
-31456,52.0,51.0
-31440,54.0,48.0
-31424,51.0,47.0
-31408,55.0,48.0
-31392,59.0,48.0
-31376,57.0,51.0
-31360,57.0,46.0
-31344,55.0,49.0
-31328,57.0,52.0
-31312,55.0,52.0
-31296,54.0,51.0
-31280,56.0,50.0
-31264,58.0,47.0
-31248,56.0,50.0
-31232,59.0,48.0
